Date,Close,High,Low,Open,Volume
07-11-2007,69.04903412,74.63710406,68.75649974,74.63710406,9072080
08-11-2007,66.42263794,67.88531664,65.98063021,67.47533705,10426800
12-11-2007,63.09157562,64.9129824,62.13709829,63.21541989,16731300
13-11-2007,67.2276535,71.74594029,60.85593149,60.85593149,20645840
14-11-2007,74.83356476,76.0165203,69.18357465,70.02914985,23823680
15-11-2007,72.61927795,74.73535699,71.54308699,74.73535699,9536920
16-11-2007,72.0491333,72.72815561,69.69603383,70.4647414,13168660
19-11-2007,70.65905762,72.04486218,70.26402668,72.04486218,17750520
20-11-2007,69.62345123,71.48969759,69.10884419,69.61063998,11291720
21-11-2007,67.51377869,68.88464141,66.83475621,68.88464141,11127660
22-11-2007,67.97498322,68.50026398,66.25393589,68.24403248,9680020
23-11-2007,66.73653412,68.58570099,65.82262781,67.69741719,8636700
26-11-2007,70.18075562,71.47901233,68.76291637,68.76291637,8477140
27-11-2007,69.72380066,70.69963222,68.32945302,69.35439221,11135400
28-11-2007,68.60062408,72.38650468,67.69739842,72.38650468,10708140
29-11-2007,71.5067749,72.34380707,69.5593865,69.5593865,20858060
30-11-2007,73.28974915,74.66487996,72.34380829,72.60004636,12315080
03-12-2007,72.43347931,74.09473861,71.74591404,74.09473861,9809040
04-12-2007,72.67050934,73.79581424,72.20074824,73.79581424,5247320
05-12-2007,73.61644745,74.22287057,72.38651519,72.81357428,16401940
06-12-2007,72.17084503,76.01651402,71.41281779,74.30827775,10360420
07-12-2007,73.44561768,74.30827883,73.02710161,73.02710161,11839500
10-12-2007,72.08545685,73.88124157,71.63491252,73.45418237,8191940
11-12-2007,76.04001617,76.65711979,71.959469,72.08758805,7261500
12-12-2007,76.18949127,76.81940616,73.49688631,75.88841377,14992920
13-12-2007,75.00653076,75.9268427,74.47911246,75.80299841,7964560
14-12-2007,73.64419556,75.37591675,72.60003313,75.37591675,9556480
17-12-2007,71.89753723,73.41146105,71.10534438,73.41146105,9451120
18-12-2007,70.9665451,72.81357435,69.03623621,71.23345703,13267720
19-12-2007,70.59500122,72.60004682,69.71953528,72.60004682,11025860
20-12-2007,70.15298462,70.88538925,69.45047073,70.46473587,11873800
24-12-2007,72.52104187,72.81357631,70.47756252,71.15445406,6793060
26-12-2007,72.88832092,73.24064341,71.74593641,72.5210498,4321680
27-12-2007,74.54317474,75.07699867,73.02711348,73.02711348,8729880
28-12-2007,73.89404297,74.22288033,71.19930082,72.55734577,6754740
31-12-2007,73.8427887,74.73534063,72.94169376,74.73534063,3779240
01-01-2008,73.85986328,74.26556809,72.81356989,73.88121754,2621040
02-01-2008,73.25344849,74.08621245,72.18580071,74.05204694,12479500
03-01-2008,72.36090088,73.02711209,71.58365013,73.02711209,14037280
04-01-2008,72.44629669,73.19791827,72.34380017,72.72815723,7459640
07-01-2008,70.69536591,71.67760321,68.85474209,70.50746536,12644920
08-01-2008,73.27266693,73.57374439,71.31887277,72.13028249,18334980
09-01-2008,74.50473785,75.46134612,72.61286254,73.21928572,20098380
10-01-2008,73.53956604,76.76813137,72.81997259,76.42221459,17222000
